Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Revenue
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,100
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,1500
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,1500
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,900
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,100
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,75
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,120
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,900
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,25
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,1200
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,1200
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,200
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,100
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,2000
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,2000
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,100
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,90
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,500
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,1200
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,100
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,30
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,1000
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,600
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,600
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,900
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,50
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,50
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,300
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,60
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,75
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,1500
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,1200
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,25
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,200
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,1500
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,60
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,150
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,1000
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,300
241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,75
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,25
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,50
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,1000
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,2000
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,50
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,60
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,60
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,50
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,1000
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100,100
283,2023-05-08,CUST283,Female,18,Electronics,1,500,500,500
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,1200
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,90
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,1200
300,2023-01-31,CUST300,Female,19,Electronics,4,50,200,200
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,90
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30,30
317,2023-01-30,CUST317,Male,22,Electronics,3,30,90,90
